city,timestamp,traffic_level,avg_speed_kmph
Mumbai,2024-01-01 00:00:00,2,14.8
Mumbai,2024-01-01 01:00:00,2,29.0
Mumbai,2024-01-01 02:00:00,2,27.8
Mumbai,2024-01-01 03:00:00,3,43.4
Mumbai,2024-01-01 04:00:00,2,32.8
Mumbai,2024-01-01 05:00:00,1,42.1
Mumbai,2024-01-01 06:00:00,1,17.3
Mumbai,2024-01-01 07:00:00,3,11.0
Mumbai,2024-01-01 08:00:00,1,21.6
Mumbai,2024-01-01 09:00:00,2,28.0
Mumbai,2024-01-01 10:00:00,1,24.4
Mumbai,2024-01-01 11:00:00,1,25.2
Mumbai,2024-01-01 12:00:00,3,34.2
Mumbai,2024-01-01 13:00:00,4,35.2
Mumbai,2024-01-01 14:00:00,3,21.7
Mumbai,2024-01-01 15:00:00,1,33.3
Mumbai,2024-01-01 16:00:00,1,32.9
Mumbai,2024-01-01 17:00:00,1,15.7
Mumbai,2024-01-01 18:00:00,2,34.7
Mumbai,2024-01-01 19:00:00,4,24.2
Mumbai,2024-01-01 20:00:00,1,44.1
Mumbai,2024-01-01 21:00:00,2,11.6
Mumbai,2024-01-01 22:00:00,3,24.7
Mumbai,2024-01-01 23:00:00,2,28.3
Mumbai,2024-01-02 00:00:00,1,19.9
Mumbai,2024-01-02 01:00:00,1,34.8
Mumbai,2024-01-02 02:00:00,4,18.9
Mumbai,2024-01-02 03:00:00,2,13.2
Mumbai,2024-01-02 04:00:00,1,35.2
Mumbai,2024-01-02 05:00:00,2,32.2
Mumbai,2024-01-02 06:00:00,2,38.5
Mumbai,2024-01-02 07:00:00,2,43.9
Mumbai,2024-01-02 08:00:00,1,40.1
Mumbai,2024-01-02 09:00:00,2,31.2
Mumbai,2024-01-02 10:00:00,2,24.7
Mumbai,2024-01-02 11:00:00,2,39.6
Mumbai,2024-01-02 12:00:00,1,33.2
Mumbai,2024-01-02 13:00:00,3,19.9
Mumbai,2024-01-02 14:00:00,3,22.8
Mumbai,2024-01-02 15:00:00,3,24.7
Mumbai,2024-01-02 16:00:00,1,37.9
Mumbai,2024-01-02 17:00:00,2,40.3
Mumbai,2024-01-02 18:00:00,4,10.9
